Action;Project;Area_ha;Type;Avrg_CC_before;Avrg_CC_after;Heat_mitigation_index_before;Heat_mitigation_index_after;Avrg_WGTB_before;Avrg_WGTB_after;LLight_work_bef;LLight_work_aft;LHeavy_work_bef;LHeavy_work_aft;LS_prob_before;LS_prob_after;Deg_prot_bef;Deg_prot_after;Carbon_ha_before;Carbon_ha_after;rnf_rt_idx_bef;rnf_rt_m3_bef;flood_vol_bef;aff_bld_bef;serv_blt_bef;rnf_rt_idx_aft;rnf_rt_m3_aft;flood_vol_aft;aff_bld_aft;serv_blt_aft
BIDyn9;BIDyn;0,16;River restoration ;0,1;0,258;0,1;1;37,07;32,52;75;75;75;75;0;0;0;0;18,74;298,30;0,030143;4,831869;155,468141;0;0;0,801704;128,51307;31,786925;0;0
BozHos1;BozHos;1,5;Integration of green elements in urban areas;0,093;0,111;0,093;0,38;42,07;41,35;75;75;75;75;0;0;0;0;0,29;112,19;0,059624;90,342575;1424,8573;0,001082;0,097795;0,269899;408,950928;1106,249146;0,001082;0,442688
Can1;Can;0,56;Green urban area;0,127;0,82;1;1;37,34;37,34;75;75;75;75;0;0;0;0;32,51;571,80;0,248905;142,497894;430,002136;0,00027;0,038525;0,656789;376,011444;196,488586;0,00027;0,101656
Cem1;Cem;0,27;Wetland restoration (Herbaceous);0,088;0,156;0,088;1;39,28;38,67;75;75;75;75;0;0;0;0;0,29;598,17;0,344949;94,964371;180,335648;0;0;0,347247;95,597031;179,702972;0;0
CeRes1;CeRes;4,9;Wetland restoration (Herbaceous);0,383;0,402;1;1;38,78;38,78;75;75;75;75;0;0;0;0;206,08;539,96;0,425494;2088,367046;2819,733286;2285,554101;4773075,868;0,432723;2123,847904;2784,25194;2285,554101;4854169,288
CiRes1;CiRes;8,34;Wetland restoration (Forested);0,468;0,476;1;1;39,57;39,57;75;75;75;75;0;0;0;0;396,77;556,33;0,654372;772,159241;407,840759;0;0;0,651542;768,819641;411,18042;0;0
CiRes2;CiRes;8,25;Wetland restoration (Forested);0,279;0,3;1;1;39,57;39,57;75;75;75;75;0;0;0;0;257,19;569,85;0,515265;4137,574219;3892,425781;89,416324;369966,6759;0,358263;2876,848633;5153,152344;89,416324;257237,2288
CiRes3;CiRes;2,12;Wetland restoration (Forested);0,343;0,421;1;1;39,57;39,57;75;75;75;75;0;0;0;0;290,10;570,42;0,501493;1068,181152;1061,81897;0;0;0,435895;928,455994;1201,544189;0;0
CiRes4;CiRes;5,58;Wetland restoration (Forested);0,249;0,242;1;1;39,57;39,57;75;75;75;75;0;0;0;0;244,48;209,72;0,532865;2445,851807;2144,148438;0;0;0,327933;1505,213135;3084,787354;0;0
CiRes5;CiRes;30,99;Wetland restoration (Forested);0,267;0,272;1;1;39,57;39,57;75;75;75;75;0;0;0;0;512,77;593,97;0,526127;16341,50195;14718,49805;0;0;0,485376;15075,76758;15984,23242;0;0,003882
CiRes6;CiRes;7,14;Wetland restoration (Forested);0,281;0,333;1;1;39,57;39,57;75;75;75;75;0;0;0;0;262,98;563,13;0,399961;2839,72052;4260,279251;0;0;0,364189;2585,741089;4514,258698;0;0
CiRes7;CiRes;2,72;Wetland restoration (Forested);0,248;0,263;1;1;39,57;39,57;75;75;75;75;0;0;0;0;297,99;586,05;0,533551;1456,595093;1273,405151;0;0;0,389199;1062,513916;1667,486328;0;0
Fir1;Fir;2,2;Green urban area;0,086;0,254;0,086;0,254;42,08;41,54;75;75;75;75;0;0;0;0;0,29;132,77;0,303634;670,150879;1536,949158;4981,625699;3338440,841;0,489694;1080,803925;1126,296356;4981,625699;5384160,606
InRe11;InRe1;0,87;Wetland restoration (Herbaceous);0,206;0,223;1;1;38,7;38,7;75;75;75;75;0;0;0;0;250,72;588,69;0,51423;450,774231;425,825867;0;0,000011;0,347247;304,396423;572,203613;0;0,000007
InRe110;InRe1;2;Wetland restoration (Herbaceous);0,175;0,175;1;1;38,73;38,73;75;75;75;75;0;0;0;0;250,94;586,36;0,51423;1033,448486;976,251648;0,000363;0,375033;0,347247;697,861755;1311,838379;0,000363;0,25325
InRe111;InRe1;2,69;Wetland restoration (Herbaceous);0,931;0,931;1;1;38,73;38,73;75;75;75;75;0;0;0;0;31,80;557,13;0,248905;670,25061;2022,550171;0;0;0,672893;1811,966003;880,834198;0;0
InRe112;InRe1;0,97;Wetland restoration (Herbaceous);0,168;0,168;1;1;38,73;38,73;75;75;75;75;0;0;0;0;251,29;577,50;0,51376;503,073364;476,126709;0;0;0,346922;339,706177;639,493835;0;0
InRe114;InRe1;4,21;Wetland restoration (Forested);0,119;0,861;1;1;38,08;38,08;75;75;75;75;0;0;0;0;31,93;597,49;0,248905;1050,377594;3169,622757;0;0;0,656788;2771,647675;1448,352612;0;0
InRe115;InRe1;11,78;Wetland restoration (Herbaceous);0,153;0,17;1;1;38,08;38,08;75;75;75;75;0;0;0;0;250,00;582,74;0,509719;5591,412759;5378,187864;93,711395;523979,0903;0,344136;3775,034362;7194,56577;93,711395;353763,7367
InRe117;InRe1;3,02;Wetland restoration (Herbaceous);0,345;0,859;1;1;34,2;34,2;75;75;75;75;0,025;0,03;0;95;353,40;593,05;0,615803;1861,697266;1161,50293;0;0;0,656788;1985,603027;1037,596985;0;0
InRe118;InRe1;0,83;Wetland restoration (Herbaceous);0,152;0,17;1;1;34,2;34,2;75;75;75;75;0;0;0;0;252,26;585,51;0,51423;429,896393;406,103638;0;0;0,347247;290,298279;545,701721;0;0
InRe119;InRe1;2,92;Wetland restoration (Herbaceous);0,154;0,174;1;1;34,2;34,2;75;75;75;75;0;0;0;0;250,43;583,00;0,51423;1504,431915;1421,168259;0;0,000554;0,347247;1015,905121;1909,694931;0;0,000374
InRe12;InRe1;5,3;Wetland restoration (Herbaceous);0,21;0,228;1;1;38,7;38,7;75;75;75;75;0;0;0;0;250,00;581,18;0,464853;2459,16333;2831,036865;0;0;0,313198;1656,880981;3633,319336;0;0
InRe122;InRe1;1,17;Wetland restoration (Herbaceous);0,148;0,166;1;1;40,53;40,53;75;75;75;75;0;0;0;0;250,53;584,69;0,51423;605,506042;571,993958;0;0;0,347247;408,882935;768,617126;0;0
InRe123;InRe1;77,38;Wetland restoration (Forested);0,48;0,448;1;1;40,53;40,53;75;75;75;75;0;0;0;0;348,12;435,23;0,519098;40175,56586;37219,43445;0,006175;248,081862;0,393149;30427,8017;46967,1991;0,006175;187,889966
InRe124;InRe1;4,63;Wetland restoration (Herbaceous);0,268;0,286;1;1;40,53;40,53;75;75;75;75;0;0;0;0;250,00;582,52;0,51423;2388,599609;2256,400391;81,841899;195487,5271;0,347247;1612,960693;3032,039551;81,841899;132007,7655
InRe125;InRe1;4,98;Wetland restoration (Herbaceous);0,148;0,166;1;1;40,53;40,53;75;75;75;75;0;0;0;0;250,63;582,60;0,470962;2346,570313;2635,929443;0;0,000347;0,317411;1581,501221;3400,998779;0;0,000234
InRe127;InRe1;2,22;Wetland restoration (Herbaceous);0,155;0,175;1;1;39,57;39,57;75;75;75;75;0;0;0;0;250,00;584,91;0,51423;1144,88208;1081,517944;0;0;0,347247;773,110107;1453,289795;0;0
InRe128;InRe1;3,32;Wetland restoration (Herbaceous);0,551;0,567;1;1;38,17;38,17;75;75;75;75;0;0;0;0;370,39;585,93;0,563776;1877,823486;1452,976807;0,000001;0,001673;0,454826;1514,934937;1815,86499;0,000001;0,001349
InRe13;InRe1;2;Wetland restoration (Herbaceous);0,194;0,214;1;1;38,7;38,7;75;75;75;75;0;0;0;0;249,69;582,47;0,51423;1031,134521;974,065674;0,000001;0,000999;0,347247;696,299133;1308,900879;0,000001;0,000674
InRe14;InRe1;3,3;Wetland restoration (Herbaceous);0,15;0,169;1;1;38,7;38,7;75;75;75;75;0;0;0;0;251,33;581,42;0,411816;1358,746094;1940,653931;0;0;0,276627;912,702026;2386,698486;0;0
InRe15;InRe1;0,63;Wetland restoration (Herbaceous);0,138;0,153;1;1;38,7;38,7;75;75;75;75;0;0;0;0;251,98;591,15;0,51423;329,518738;311,281311;0;0;0,347247;222,515686;418,284363;0;0
InRe17;InRe1;1,63;Wetland restoration (Herbaceous);0,381;0,397;1;1;38,7;38,7;75;75;75;75;0;0;0;0;250,77;584,21;0,51423;838,143875;791,75631;0,000027;0,022483;0,347247;565,977364;1063,922729;0,000027;0,015182
InRe19;InRe1;0,78;Wetland restoration (Forested);0,287;0,303;1;1;38,7;38,7;75;75;75;75;0;0;0;0;165,77;584,24;0,41054;321,452667;461,547424;0;0;0,347247;271,894165;511,105896;0;0
InRe20;;1,37;Wetland restoration (Herbaceous);0,156;0,176;1;1;33,52;33,52;75;75;75;75;0;0;0;0;250,46;585,36;0,51423;706,757996;667,64209;0;0;0,347247;477,255951;897,144043;0;0
IUGEN1;IUGEN;1,43;River restoration ;0,099;0,295;0,099;1;44;40,16;75;75;75;75;0;0;0;0;547,45;602,32;0,030143;43,079899;1386,120117;0,017512;0,754422;0,434762;621,361328;807,838745;0,017512;10,881374
IUGEN2;IUGEN;15,08;Active forest plantation/restoration;0,665;0,831;0,945;0,951;30,63;30,63;0;0;50;50;9;0;0;99;449,78;553,51;0,583127;8798,91253;6290,287178;0,000025;0,221475;0,621426;9376,823681;5712,375536;0,000025;0,236021
IUROM1;IUROM;2,7;River restoration ;0,134;0,72;1;1;32,38;32,38;50;50;75;75;0;0;0;0;32,07;455,23;0,242966;657,951111;2050,049072;0,000279;0,183396;0,648073;1754,982422;953,0177;0,000279;0,489181
IUSE1;IUSE;172,13;River restoration ;0,553;0,616;0,97;0,97;37,26;37,26;75;75;75;75;0;0;0;0;324,96;374,72;0,425783;72864,03581;98265,57163;0,000139;10,14406;0,481557;82142,14958;88433,858;0,000139;11,435749
IUSE2;IUSE;62,47;River restoration ;0,594;0,653;0,964;0,964;37,26;37,26;75;75;75;75;0;0;0;0;357,30;411,72;0,485533;27667,61279;29316,38916;0,000151;4,172133;0,522804;29791,45947;27192,54248;0,000151;4,492398
Mar1;Mar;19,7;River restoration ;0,27;0,283;1;0,96;32,55;32,71;75;75;75;75;0;0;0;0;477,79;456,68;0,356723;7031,581665;12680,01904;294,479511;2070656,727;0,424438;8366,351318;11345,24963;294,479511;2463719,041
NCION1;NCION;1,11;Integration of green elements in urban areas;0,082;0,126;0,082;0,275;43,51;42,51;75;75;75;75;0;0;0;0;0,29;93,61;0,059624;66,224592;1044,475427;0,00128;0,084744;0,173098;192,25987;918,440171;0,00128;0,246025
NCION2;NCION;0,07;Integration of green elements in urban areas;0,736;0,738;0,82;0,898;40,68;39,57;75;75;75;75;0;0;0;0;520,34;524,22;0,44814;34,058662;41,941341;0,000107;0,003637;0,44236;33,61939;42,380613;0,000107;0,00359
NCION3;NCION;0,04;Integration of green elements in urban areas;0,091;0,144;0,091;0,348;42,92;41,9;75;75;75;75;0;0;0;0;0,31;47,03;0,059624;2,575765;40,624236;0,000062;0,000159;0,112767;4,871549;38,32845;0,000062;0,000301
NCION4;NCION;0,07;Green urban area;0,433;0,462;0,576;0,659;40,04;40,93;75;75;75;75;0;0;0;0;266,73;324,80;0,427913;31,579955;42,220047;0,000094;0,002967;0,4239;31,071907;42,228099;0,000094;0,002919
NCION5;NCION;0,28;Green urban area;0,13;0,235;0,899;0,96;40,16;39,6;75;75;75;75;0;0;0;0;33,06;359,37;0,248905;71,983223;217,216797;0,000411;0,029592;0,560925;162,219421;126,980591;0,000411;0,066688
NCION6;NCION;0,06;Green urban area;0,091;0,271;0,433;0,922;40,87;39,55;75;75;75;75;0;0;0;0;0,29;364,42;0,059624;3,589377;56,610626;0,000134;0,000481;0,412413;24,82728;35,372726;0,000134;0,003326
NCION7;NCION;0,18;Integration of green elements in urban areas;0,088;0,254;0,088;0,357;43,51;42,49;75;75;75;75;0;0;0;0;0,29;153,81;0,059624;10,768129;169,831863;0,000233;0,002507;0,292375;52,802849;127,79718;0,000233;0,012294
NCION8;NCION;0,18;Integration of green elements in urban areas;0,083;0,239;0,083;0,941;42,86;39,76;75;75;75;75;0;0;0;0;0,29;32,13;0,059624;10,774092;169,925903;0,00012;0,001293;0,248905;44,977066;135,722931;0,00012;0,005396
ONRTM1;ONRTM;24,41;Active forest plantation/restoration;0,219;0,783;0,595;1;34,14;33,68;75;75;75;75;49;29;0;0;194,56;633,58;0,339662;8293,691406;16123,81055;0;0;0,640314;15634,87793;8782,62207;0;0
ONRTM10;ONRTM;1,92;Active forest plantation/restoration;0;0;0;0;0;0;0;0;0;0;39;0;0;99;32,05;596,85;0,248905;475,407837;1434,592285;0;0;0,656789;1254,466064;655,534058;0;0
ONRTM2;ONRTM;3,2;Active forest plantation/restoration;0,395;0,789;0,687;1;34,1;33,68;75;75;75;75;34;22;50;75;270,85;635,43;0,323474;1039,160585;2173,339508;0;0;0,640314;2057,010094;1155,489906;0;0
ONRTM3;ONRTM;16,67;Active forest plantation/restoration;0,565;0,879;0,772;1;33,94;33,68;75;75;75;75;0;0;99;99;350,93;593,74;0,405813;6772,005859;9915,495117;0,000011;0,076581;0,656788;10960,16016;5727,341797;0,000011;0,123942
ONRTM4;ONRTM;167,05;Active forest plantation/restoration;0,394;0,799;0,854;1;33,85;33,68;75;75;75;75;44;23;0;50;248,25;633,49;0,374111;62495,28857;104554,7324;0;0;0,640314;106964,5234;60085,46924;0;0
ONRTM5;ONRTM;55,28;Active forest plantation/restoration;0,663;0,83;0,853;1;30,17;29,38;0;0;50;25;7;8;95;95;429,54;556,28;0,506778;28005,81836;27256,6875;0;0;0,619811;34252,28711;21010,2168;0;0
ONRTM6;ONRTM;54,34;Active forest plantation/restoration;0,424;0,866;0,643;1;31,18;29,38;0;0;50;25;47;0;0;99;255,59;583,31;0,336646;18298,41406;36056,58594;0;0;0,656789;35699,74219;18655,25977;0;0
ONRTM7;ONRTM;129,4;Active forest plantation/restoration;0,681;0,812;0,903;1;29,94;29,38;0;0;50;25;47;17;0;75;464,33;567,49;0,557878;72175,43713;57199,56641;0;0;0,647775;83805,84473;45569,16065;0;0
ONRTM8;ONRTM;199,54;Active forest plantation/restoration;0;0;0;0;0;0;0;0;0;0;58;7;0;95;217,97;278,50;0,408453;81486,46281;118013,5411;0;0;0,457324;91236,21117;108263,7967;0;0
PaDug1;PaDug;37,31;Green urban area;0,307;0,237;0,758;0,858;37,73;37,57;75;75;75;75;0;0;0;0;187,55;347,85;0,276422;10316,05306;27003,9475;0,002931;30,232281;0,377587;14091,5408;23228,46115;0,002931;41,296746
ParNorMi1;ParNorMi;17,73;Green urban area;0,298;0,451;1;1;37,34;37,34;75;75;75;75;0;0;0;0;168,33;286,15;0,27892;4948,047424;12791,95056;0,002653;13,125625;0,363369;6446,17218;11293,82782;0,002653;17,099683
PerMi1;PerMi;8,83;Green urban area;0,376;0,525;1;1;37,34;37,34;75;75;75;75;0;0;0;0;251,61;429,06;0,344462;3044,186157;5793,313721;65198,4022;198476073,4;0,474902;4196,950439;4640,550293;65198,4022;273634462,8
ReAll1;ReAll;6,55;Forest plantation/restoration;0,573;0,93;1;1;30,78;30,78;0;0;50;50;22;4;0;95;308,11;560,40;0,485166;3177,496582;3371,803955;0;0;0,672893;4406,977539;2142,322998;0;0
ReBu1;ReBu;0,11;Forest plantation/restoration;0,135;0,819;1;1;43,89;43,89;75;75;75;75;14;0;0;99;34,92;691,04;0,248905;28,474691;85,925308;0;0;0,640314;73,251976;41,148033;0;0
ReCan1;ReCan;8,97;Forest plantation/restoration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32,05;564,87;0,248905;2235,163574;6744,837891;0;0;0,656788;5897,961426;3082,039063;0;0
ReChi1;ReChi;1,78;Forest plantation/restoration;0,248;0,899;0,5;1;40,51;40,41;75;75;75;75;43;18;0;75;15,83;589,37;0,156049;278,017395;1503,582764;0;0;0,656789;1170,134521;611,465576;0;0
ReInn1;ReInn;138,8;Active forest plantation/restoration;0,125;0,802;1;1;39,07;39,07;75;75;75;75;16;0;0;99;32,00;633,31;0,248945;34562,32088;104272,7047;0,000002;0,056066;0,640382;88907,46085;49927,53671;0,000002;0,144224
ReLa1;ReLa;1,09;Agroforestry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32,23;569,02;0,248905;271,30603;818,69397;0;0;0,640792;698,462891;391,53717;0;0
Reluc1;Reluc;13,96;Forest plantation/restoration;0;0;0;0;0;0;0;0;0;0;20;0;0;99;380,26;572,28;0,371727;5181,879517;8758,121582;0;0;0,614042;8559,74585;5380,25415;0;0
Reluc2;Reluc;8,25;Forest plantation/restoration;0,603;0,772;0,79;1;36,08;35,91;75;75;75;75;11;0;0;99;436,28;606,15;0,488479;4034,834961;4225,165039;0,000011;0,044642;0,594391;4909,668945;3350,331055;0,000011;0,054321
ReMen1;ReMen;5,97;Forest plantation/restoration;0,123;0,892;0,76;1;39,81;39,25;75;75;75;75;11;0;0;99;28,84;594,07;0,198534;1187,727295;4794,773438;0,297459;353,299822;0,656788;3929,237793;2053,262939;0,297459;1168,785984
ReSa11;ReSa1;64,73;Forest plantation/restoration;0,759;0,855;0,987;0,987;41,63;41,63;75;75;75;75;0;0;0;0;485,17;559,78;0,486378;31484,47363;33248,03076;0,093285;2937,015636;0,529846;34298,2251;30434,27734;0,093285;3199,495236
ReSa2;ReSa2;16,23;Forest plantation/restoration;0,601;0,783;1;1;41,62;41,62;75;75;75;75;0;0;0;0;441,88;578,36;0,650478;10557,25098;5672,749512;0,000004;0,037464;0,647892;10515,28711;5714,713379;0,000004;0,037315
ReVe1;ReVe;85,19;Forest plantation/restoration;0,543;0,804;0,98;0,98;34,24;34,24;75;75;75;75;12;0;0;99;426,97;551,10;0,554792;47261,39063;37926,11719;0,000061;2,889982;0,64409;54868,42188;30319,0918;0,000061;3,355143
ValCam1;ValCam;11,77;River restoration ;0,344;0,771;1;1;32,23;32,23;50;75;50;75;0;0;0;0;208,60;518,73;0,355807;4199,774413;7603,726822;178161,3512;748237483,9;0,599942;7081,417645;4722,083417;178161,3512;1261634936
