Action;Project;Area_ha;TYPE1;TYPE2;Avrg_CC_before;Avrg_CC_after;Heat_mitigation_index_before;Heat_mitigation_index_after;Avrg_WGTB_before;Avrg_WGTB_after;LLight_work_bef;LLight_work_aft;LHeavy_work_bef;LHeavy_work_aft;LS_prob_before;LS_prob_after;Deg_prot_bef;Deg_prot_after;Carbon_ha_before;Carbon_ha_after;rnf_rt_idx_bef;rnf_rt_m3_bef;flood_vol_bef;aff_bld_bef;serv_blt_bef;rnf_rt_idx_aft;rnf_rt_m3_aft;flood_vol_aft;aff_bld_aft;serv_blt_aft
InRe17;InRe1;1.63;Wetland;Wetland restoration (Herbaceous);0.381;0.397;1;1;38.7;38.7;75;75;75;75;0;0;0;0;250.766871165644;584.213759562721;0.51423;838.143875;791.75631;0.000027;0.022483;0.347247;565.977364;1063.922729;0.000027;0.015182
InRe19;InRe1;0.78;Wetland;Wetland restoration (Forested);0.287;0.303;1;1;38.7;38.7;75;75;75;75;0;0;0;0;165.766794062578;584.238478770623;0.41054;321.452667;461.547424;0;0;0.347247;271.894165;511.105896;0;0
InRe20;;1.37;Wetland;Wetland restoration (Herbaceous);0.156;0.176;1;1;33.52;33.52;75;75;75;75;0;0;0;0;250.456204379562;585.356075659285;0.51423;706.757996;667.64209;0;0;0.347247;477.255951;897.144043;0;0
IUGEN1;IUGEN;1.43;River;River restoration ;0.099;0.295;0.099;1;44;40.16;75;75;75;75;0;0;0;0;547.452931470804;602.322486063817;0.030143;43.079899;1386.120117;0.017512;0.754422;0.434762;621.361328;807.838745;0.017512;10.881374
IUGEN2;IUGEN;15.08;Forest;Active forest plantation/restoration;0.665;0.831;0.945;0.951;30.63;30.63;0;0;50;50;9;0;0;99;449.780322962083;553.50677258472;0.583127;8798.91253;6290.287178;0.000025;0.221475;0.621426;9376.823681;5712.375536;0.000025;0.236021
IUROM1;IUROM;2.7;River;River restoration ;0.134;0.72;1;1;32.38;32.38;50;50;75;75;0;0;0;0;32.0692757379126;455.230461049963;0.242966;657.951111;2050.049072;0.000279;0.183396;0.648073;1754.982422;953.0177;0.000279;0.489181
IUSE1;IUSE;172.13;River;River restoration ;0.553;0.616;0.97;0.97;37.26;37.26;75;75;75;75;0;0;0;0;324.963034424968;374.716109954111;0.425783;72864.035809;98265.571625;0.000139;10.14406;0.481557;82142.149578;88433.858002;0.000139;11.435749
IUSE2;IUSE;62.47;River;River restoration ;0.594;0.653;0.964;0.964;37.26;37.26;75;75;75;75;0;0;0;0;357.298703586756;411.721034876017;0.485533;27667.612793;29316.38916;0.000151;4.172133;0.522804;29791.459473;27192.54248;0.000151;4.492398
Mar1;Mar;19.7;River;River restoration ;0.27;0.283;1;0.96;32.55;32.71;75;75;75;75;0;0;0;0;477.785653423537;456.675566319887;0.356723;7031.581665;12680.019043;294.479511;2070656.727072;0.424438;8366.351318;11345.249634;294.479511;2463719.041271
NCION1;NCION;1.11;Urban;Integration of green elements in urban areas;0.082;0.126;0.082;0.275;43.51;42.51;75;75;75;75;0;0;0;0;0.286180355315;93.6075263330896;0.059624;66.224592;1044.475427;0.00128;0.084744;0.173098;192.25987;918.440171;0.00128;0.246025
NCION2;NCION;0.07;Urban;Integration of green elements in urban areas;0.736;0.738;0.82;0.898;40.68;39.57;75;75;75;75;0;0;0;0;520.344794426221;524.223903016121;0.44814;34.058662;41.941341;0.000107;0.003637;0.44236;33.61939;42.380613;0.000107;0.00359
NCION3;NCION;0.04;Urban;Integration of green elements in urban areas;0.091;0.144;0.091;0.348;42.92;41.9;75;75;75;75;0;0;0;0;0.308879994554445;47.0296827166749;0.059624;2.575765;40.624236;0.000062;0.000159;0.112767;4.871549;38.32845;0.000062;0.000301
NCION4;NCION;0.07;Urban;Green urban area;0.433;0.462;0.576;0.659;40.04;40.93;75;75;75;75;0;0;0;0;266.728992498663;324.803684292627;0.427913;31.579955;42.220047;0.000094;0.002967;0.4239;31.071907;42.228099;0.000094;0.002919
NCION5;NCION;0.28;Urban;Green urban area;0.13;0.235;0.899;0.96;40.16;39.6;75;75;75;75;0;0;0;0;33.0617563865547;359.369942705546;0.248905;71.983223;217.216797;0.000411;0.029592;0.560925;162.219421;126.980591;0.000411;0.066688
NCION6;NCION;0.06;Urban;Green urban area;0.091;0.271;0.433;0.922;40.87;39.55;75;75;75;75;0;0;0;0;0.286953328274346;364.418674446642;0.059624;3.589377;56.610626;0.000134;0.000481;0.412413;24.82728;35.372726;0.000134;0.003326
NCION7;NCION;0.18;Urban;Integration of green elements in urban areas;0.088;0.254;0.088;0.357;43.51;42.49;75;75;75;75;0;0;0;0;0.286953328274346;153.810534508294;0.059624;10.768129;169.831863;0.000233;0.002507;0.292375;52.802849;127.79718;0.000233;0.012294
NCION8;NCION;0.18;Urban;Integration of green elements in urban areas;0.083;0.239;0.083;0.941;42.86;39.76;75;75;75;75;0;0;0;0;0.287112217160433;32.1344825982427;0.059624;10.774092;169.925903;0.00012;0.001293;0.248905;44.977066;135.722931;0.00012;0.005396
ONRTM1;ONRTM;24.41;Forest;Active forest plantation/restoration;0.219;0.783;0.595;1;34.14;33.68;75;75;75;75;49;29;0;0;194.562819124104;633.5797357442;0.339662;8293.691406;16123.810547;0;0;0.640314;15634.87793;8782.62207;0;0
ONRTM10;ONRTM;1.92;Forest;Active forest plantation/restoration;0;0;0;0;0;0;0;0;0;0;39;0;0;99;32.0516776487542;596.846136326591;0.248905;475.407837;1434.592285;0;0;0.656789;1254.466064;655.534058;0;0
ONRTM2;ONRTM;3.2;Forest;Active forest plantation/restoration;0.395;0.789;0.687;1;34.1;33.68;75;75;75;75;34;22;50;75;270.849368060007;635.429514795541;0.323474;1039.160585;2173.339508;0;0;0.640314;2057.010094;1155.489906;0;0
ONRTM3;ONRTM;16.67;Forest;Active forest plantation/restoration;0.565;0.879;0.772;1;33.94;33.68;75;75;75;75;0;0;99;99;350.934575421676;593.743032191997;0.405813;6772.005859;9915.495117;0.000011;0.076581;0.656788;10960.160156;5727.341797;0.000011;0.123942
ONRTM4;ONRTM;167.05;Forest;Active forest plantation/restoration;0.394;0.799;0.854;1;33.85;33.68;75;75;75;75;44;23;0;50;248.247101747438;633.487903380315;0.374111;62495.288574;104554.732422;0;0;0.640314;106964.523438;60085.469238;0;0
ONRTM5;ONRTM;55.28;Forest;Active forest plantation/restoration;0.663;0.83;0.853;1;30.17;29.38;0;0;50;25;7;8;95;95;429.536335007321;556.278605239436;0.506778;28005.818359;27256.6875;0;0;0.619811;34252.287109;21010.216797;0;0
ONRTM6;ONRTM;54.34;Forest;Active forest plantation/restoration;0.424;0.866;0.643;1;31.18;29.38;0;0;50;25;47;0;0;99;255.592842424205;583.309522327097;0.336646;18298.414063;36056.585938;0;0;0.656789;35699.742188;18655.259766;0;0
ONRTM7;ONRTM;129.4;Forest;Active forest plantation/restoration;0.681;0.812;0.903;1;29.94;29.38;0;0;50;25;47;17;0;75;464.329953739388;567.492235447446;0.557878;72175.437134;57199.566406;0;0;0.647775;83805.844727;45569.160645;0;0
ONRTM8;ONRTM;199.54;Forest;Active forest plantation/restoration;0;0;0;0;0;0;0;0;0;0;58;7;0;95;217.969214000981;278.497924691708;0.408453;81486.462807;118013.541107;0;0;0.457324;91236.211174;108263.796692;0;0
PaDug1;PaDug;37.31;Urban;Green urban area;0.307;0.237;0.758;0.858;37.73;37.57;75;75;75;75;0;0;0;0;187.546205433963;347.854810170455;0.276422;10316.053055;27003.947495;0.002931;30.232281;0.377587;14091.540802;23228.461151;0.002931;41.296746
ParNorMi1;ParNorMi;17.73;Urban;Green urban area;0.298;0.451;1;1;37.34;37.34;75;75;75;75;0;0;0;0;168.334481694556;286.153335144005;0.27892;4948.047424;12791.950562;0.002653;13.125625;0.363369;6446.17218;11293.82782;0.002653;17.099683
PerMi1;PerMi;8.83;Urban;Green urban area;0.376;0.525;1;1;37.34;37.34;75;75;75;75;0;0;0;0;251.607845174328;429.063024203106;0.344462;3044.186157;5793.313721;65198.402198;198476073.443214;0.474902;4196.950439;4640.550293;65198.402198;273634462.754845
ReAll1;ReAll;6.55;Forest;Forest plantation/restoration;0.573;0.93;1;1;30.78;30.78;0;0;50;50;22;4;0;95;308.112169516678;560.395899328567;0.485166;3177.496582;3371.803955;0;0;0.672893;4406.977539;2142.322998;0;0
ReBu1;ReBu;0.11;Forest;Forest plantation/restoration;0.135;0.819;1;1;43.89;43.89;75;75;75;75;14;0;0;99;34.9199977788058;691.036345741966;0.248905;28.474691;85.925308;0;0;0.640314;73.251976;41.148033;0;0
ReCan1;ReCan;8.97;Forest;Forest plantation/restoration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32.0456835803645;564.87354387009;0.248905;2235.163574;6744.837891;0;0;0.656788;5897.961426;3082.039063;0;0
ReChi1;ReChi;1.78;Forest;Forest plantation/restoration;0.248;0.899;0.5;1;40.51;40.41;75;75;75;75;43;18;0;75;15.8251675327172;589.372587739752;0.156049;278.017395;1503.582764;0;0;0.656789;1170.134521;611.465576;0;0
ReInn1;ReInn;138.8;Forest;Active forest plantation/restoration;0.125;0.802;1;1;39.07;39.07;75;75;75;75;16;0;0;99;32.0030793764492;633.31307077614;0.248945;34562.3208779999;104272.704696;0.000002;0.056066;0.640382;88907.46085;49927.536709;0.000002;0.144224
Reluc1;Reluc;13.96;Forest;Forest plantation/restoration;0;0;0;0;0;0;0;0;0;0;20;0;0;99;380.259881644672;572.281781650204;0.371727;5181.879517;8758.121582;0;0;0.614042;8559.74585;5380.25415;0;0
Reluc2;Reluc;8.25;Forest;Forest plantation/restoration;0.603;0.772;0.79;1;36.08;35.91;75;75;75;75;11;0;0;99;436.279570651777;606.153072805116;0.488479;4034.834961;4225.165039;0.000011;0.044642;0.594391;4909.668945;3350.331055;0.000011;0.054321
ReMen1;ReMen;5.97;Forest;Forest plantation/restoration;0.123;0.892;0.76;1;39.81;39.25;75;75;75;75;11;0;0;99;28.8386919927258;594.073119075654;0.198534;1187.727295;4794.773438;0.297459;353.299822;0.656788;3929.237793;2053.262939;0.297459;1168.785984
ReSa11;ReSa1;64.73;Forest;Forest plantation/restoration;0.759;0.855;0.987;0.987;41.63;41.63;75;75;75;75;0;0;0;0;485.174369977723;559.778997997929;0.486378;31484.473633;33248.030762;0.093285;2937.015636;0.529846;34298.225098;30434.277344;0.093285;3199.495236
ReSa2;ReSa2;16.23;Forest;Forest plantation/restoration;0.601;0.783;1;1;41.62;41.62;75;75;75;75;0;0;0;0;441.879567656338;578.357423453587;0.650478;10557.250977;5672.749512;0.000004;0.037464;0.647892;10515.287109;5714.713379;0.000004;0.037315
ReVe1;ReVe;85.19;Forest;Forest plantation/restoration;0.543;0.804;0.98;0.98;34.24;34.24;75;75;75;75;12;0;0;99;426.973673919516;551.10082561407;0.554792;47261.390625;37926.117188;0.000061;2.889982;0.64409;54868.421875;30319.091797;0.000061;3.355143
ValCam1;ValCam;11.77;River;River restoration ;0.344;0.771;1;1;32.23;32.23;50;75;50;75;0;0;0;0;208.602016322321;518.731063209354;0.355807;4199.774413;7603.726822;178161.351157;748237483.910149;0.599942;7081.417645;4722.083417;178161.351157;1261634935.65302
