Action;TYPE1;TYPE2;Sum_carbon_before;Sum_carbon_after;Carbon_ha_before;Carbon_ha_after;Increase_carbon;Increase_percentage;Economic_value
NCION5;Urban;Green urban area;9.2572917882353;100.623583957552;33.0617563865547;359.369942705546;91.3662921693176;986.965672675794;8040.233711
NCION6;Urban;Green urban area;0.0172171996964607;21.8651204667985;0.286953328274346;364.418674446642;21.8479032671021;126895.799852942;1922.615488
NCION7;Urban;Integration of green elements in urban areas;0.0516515990893822;27.6858962114929;0.286953328274346;153.810534508294;27.6342446124036;53501.2373277795;2431.813526
NCION8;Urban;Integration of green elements in urban areas;0.051680199088878;5.78420686768367;0.287112217160433;32.1344825982427;5.7325266685948;11092.307633599;504.4623468
ONRTM1;Forest;Active forest plantation/restoration;4749.27841481938;15465.6813495159;194.562819124104;633.5797357442;10716.4029346965;225.64276082989;943043.4583
ONRTM10;Forest;Active forest plantation/restoration;61.539221085608;1145.94458174705;32.0516776487542;596.846136326591;1084.40536066144;1762.13696165071;95427.67174
ONRTM2;Forest;Active forest plantation/restoration;866.717977792024;2033.37444734573;270.849368060007;635.429514795541;1166.6564695537;134.606238643599;102665.7693
ONRTM3;Forest;Active forest plantation/restoration;5850.07937227934;9897.69634664058;350.934575421676;593.743032191997;4047.61697436124;69.1890949982817;356190.2937
ONRTM4;Forest;Active forest plantation/restoration;41469.6783469095;105824.154259682;248.247101747438;633.487903380315;64354.4759127721;155.184410581685;5663193.88
ONRTM5;Forest;Active forest plantation/restoration;23744.7685992047;30751.081297636;429.536335007321;556.278605239436;7006.31269843131;29.5067634336347;616555.5175
ONRTM6;Forest;Active forest plantation/restoration;13888.9150573313;31697.0394432544;255.592842424205;583.309522327097;17808.1243859231;128.218253999063;1567114.946
ONRTM7;Forest;Active forest plantation/restoration;60084.2960138767;73433.4952668995;464.329953739388;567.492235447446;13349.1992530226;22.2174513785426;1174729.534
ONRTM8;Forest;Active forest plantation/restoration;43493.5769617557;55571.4758929833;217.969214000981;278.497924691708;12077.8989312276;27.7693852171501;1062855.106
PaDug1;Urban;Green urban area;6997.34892474114;12978.4629674597;187.546205433963;347.854810170455;5981.11404271855;85.4768585509662;526338.0358
ParNorMi1;Urban;Green urban area;2984.57036044448;5073.4986321032;168.334481694556;286.153335144005;2088.92827165871;69.9909206143701;183825.6879
PerMi1;Urban;Green urban area;2221.69727288931;3788.62650371342;251.607845174328;429.063024203106;1566.92923082411;70.5284761315083;137889.7723
ReAll1;Forest;Forest plantation/restoration;2018.13471033424;3670.59314060211;308.112169516678;560.395899328567;1652.45843026787;81.8804821009293;145416.3419
ReBu1;Forest;Forest plantation/restoration;3.84119975566864;76.0139980316162;34.9199977788058;691.036345741966;72.1727982759475;1878.91291436845;6351.206248
ReCan1;Forest;Forest plantation/restoration;287.449781715869;5066.9156885147;32.0456835803645;564.87354387009;4779.46590679883;1662.71335405748;420592.9998
ReChi1;Forest;Forest plantation/restoration;28.1687982082366;1049.08320617675;15.8251675327172;589.372587739752;1020.91440796852;3624.27392330142;89840.4679
ReInn1;Forest;Active forest plantation/restoration;4442.02741745114;87903.8542237282;32.0030793764492;633.31307077614;83461.826806277;1878.91291436845;7344640.759
Reluc1;Forest;Forest plantation/restoration;5308.42794775962;7989.05367183685;380.259881644672;572.281781650204;2680.62572407722;50.4975437258889;235895.0637
Reluc2;Forest;Forest plantation/restoration;3599.30645787715;5000.7628506422;436.279570651777;606.153072805116;1401.45639276504;38.9368454497096;123328.1626
ReMen1;Forest;Forest plantation/restoration;172.166991196572;3546.61652088165;28.8386919927258;594.073119075654;3374.44952968508;1959.98635175792;296951.5586
ReSa11;Forest;Forest plantation/restoration;31405.336968658;36234.4945404059;485.174369977723;559.778997997929;4829.15757174789;15.3768691498751;424965.8663
ReSa2;Forest;Forest plantation/restoration;7171.70538306236;9386.74098265171;441.879567656338;578.357423453587;2215.03559958934;30.8857584253344;194923.1328
ReVe1;Forest;Forest plantation/restoration;36373.8872812035;46948.2793340626;426.973673919516;551.10082561407;10574.392052859;29.071382915742;930546.5007
ValCam1;River;River restoration ;2455.24573211371;6105.46461397409;208.602016322321;518.731063209354;3650.21888186037;148.670205760541;321219.2616
